GT,Result
435345 908244 3752 843384 886630 779712 871066 619829 701919 87578 ,68247 73581 77004 77588 77660 78092 78324 79309 79508 79874 ,435345 908244 3752 843384 886630 779712 871066 619829 701919 87578 ,68247 73581 77004 77588 77660 78092 78324 79309 79508 79874 
833054 517238 560219 826670 808402 931691 844161 353631 190506 751816 ,58464 61274 61494 63126 64908 67716 68294 68422 68910 68998 ,833054 517238 560219 826670 808402 931691 844161 353631 190506 751816 ,58464 61274 61494 63126 64908 67716 68294 68422 68910 68998 
402106 800216 46826 307615 249336 783477 287172 227186 947879 250875 ,36458 50003 50499 51069 51476 56583 56783 58333 58410 58839 ,402106 800216 46826 307615 249336 783477 287172 227186 947879 250875 ,36458 50003 50499 51069 51476 56583 56783 58333 58410 58839 
123985 832999 855554 546767 885741 81001 768705 994263 889896 801041 ,36107 36743 38019 39632 39790 42181 42781 43074 43139 43254 ,123985 832999 855554 546767 885741 81001 768705 994263 889896 801041 ,36107 36743 38019 39632 39790 42181 42781 43074 43139 43254 
748397 748193 175336 716433 112586 107281 368246 340288 175407 953387 ,47367 48151 48199 52559 53980 54643 57046 57968 58065 58065 ,748397 748193 716433 112586 107281 368246 340288 175407 953387 491554 ,47367 48151 52559 53980 54643 57046 57968 58065 58065 58390 
187470 67875 220473 896005 27746 943689 669622 947299 515025 682308 ,64458 65771 65771 70631 70788 71743 72031 73168 73421 73467 ,187470 67875 220473 896005 27746 943689 669622 947299 515025 682308 ,64458 65771 65771 70631 70788 71743 72031 73168 73421 73467 
982379 59540 511412 595673 872343 667973 670041 16210 170274 439684 ,51327 55786 55874 55969 58215 58851 59344 60058 60756 61264 ,982379 59540 511412 595673 872343 667973 670041 16210 170274 439684 ,51327 55786 55874 55969 58215 58851 59344 60058 60756 61264 
618842 569178 107468 476215 762217 5447 543133 5868 108097 51349 ,26030 27011 27041 29348 29873 30258 30959 31587 31681 32069 ,618842 569178 107468 476215 762217 5447 543133 5868 108097 51349 ,26030 27011 27041 29348 29873 30258 30959 31587 31681 32069 
134502 281770 354520 389095 79518 161628 301855 464810 322356 324214 ,62004 62226 62247 62927 63162 65254 66298 70833 71007 71316 ,134502 281770 354520 389095 79518 161628 301855 464810 322356 324214 ,62004 62226 62247 62927 63162 65254 66298 70833 71007 71316 
177646 581962 514230 291945 612270 732351 746863 883543 171008 521119 ,47096 53960 57290 59017 59029 59218 59389 59582 59591 59966 ,177646 581962 514230 291945 612270 732351 746863 883543 171008 521119 ,47096 53960 57290 59017 59029 59218 59389 59582 59591 59966 
