GT,Result
435974 826176 671882 646045 322554 490300 58457 451501 893899 811321 ,-0.439686 -0.42926 -0.419232 -0.41912 -0.417363 -0.416687 -0.415166 -0.413059 -0.412623 -0.411162 ,435974 826176 671882 646045 322554 490300 58457 451501 893899 811321 ,-0.439686 -0.42926 -0.419232 -0.41912 -0.417363 -0.416687 -0.415166 -0.413059 -0.412623 -0.411162 
677012 102818 413755 845267 827499 223491 619656 503698 890851 627330 ,-0.338217 -0.325117 -0.295489 -0.293218 -0.293148 -0.287123 -0.282871 -0.28167 -0.281518 -0.280914 ,102818 845267 827499 223491 503698 890851 627330 275882 638914 480316 ,-0.325117 -0.293218 -0.293148 -0.287123 -0.28167 -0.281518 -0.280914 -0.277968 -0.277015 -0.269049 
414491 30466 254928 32352 267829 742221 554870 636826 8828 911677 ,-0.241997 -0.228412 -0.189208 -0.181172 -0.177539 -0.175302 -0.174038 -0.172984 -0.172759 -0.168611 ,414491 30466 254928 32352 267829 742221 554870 636826 8828 911677 ,-0.241997 -0.228412 -0.189208 -0.181172 -0.177539 -0.175302 -0.174038 -0.172984 -0.172759 -0.168611 
230396 506577 842271 788540 889296 226459 984764 882966 911607 253540 ,-0.358674 -0.358084 -0.352219 -0.317981 -0.317821 -0.309805 -0.3087 -0.305463 -0.30453 -0.304294 ,230396 842271 788540 889296 882966 911607 491553 416257 965158 618661 ,-0.358674 -0.352219 -0.317981 -0.317821 -0.305463 -0.30453 -0.303466 -0.302303 -0.301676 -0.299757 
30245 377580 376277 688953 503782 529783 326875 237971 267829 521967 ,-0.357132 -0.325413 -0.313604 -0.312686 -0.31083 -0.309149 -0.307253 -0.306137 -0.305601 -0.300631 ,30245 377580 267829 512290 788491 734859 825974 291972 30466 317378 ,-0.357132 -0.325413 -0.305601 -0.296397 -0.296363 -0.293713 -0.293347 -0.292908 -0.292141 -0.290477 
62879 476785 500558 128847 588387 485024 201687 646045 671258 107713 ,-0.278576 -0.27053 -0.266504 -0.26473 -0.26012 -0.253805 -0.250358 -0.245506 -0.236292 -0.23593 ,476785 128847 588387 485024 955938 338599 454753 343066 654661 848871 ,-0.27053 -0.26473 -0.26012 -0.253805 -0.232202 -0.230307 -0.230267 -0.224724 -0.221359 -0.220928 
260325 318800 450451 905442 478377 719587 4450 842584 12992 846515 ,-0.408267 -0.399413 -0.357737 -0.354057 -0.344492 -0.34087 -0.338151 -0.334282 -0.332635 -0.332221 ,318800 719587 12992 15692 332869 979419 641581 485024 993716 801741 ,-0.399413 -0.34087 -0.332635 -0.327384 -0.311223 -0.305708 -0.304799 -0.294681 -0.293562 -0.251854 
255657 649410 995525 647897 410239 573497 733895 468999 134430 552605 ,-0.483696 -0.476101 -0.47395 -0.4688 -0.468616 -0.46806 -0.467925 -0.467709 -0.467571 -0.467528 ,255657 649410 995525 647897 410239 573497 733895 468999 134430 552605 ,-0.483696 -0.476101 -0.47395 -0.4688 -0.468616 -0.46806 -0.467925 -0.467709 -0.467571 -0.467528 
698478 528918 410914 925940 915223 992273 391872 545390 68416 675330 ,-0.434645 -0.333043 -0.302257 -0.302011 -0.27662 -0.265924 -0.256521 -0.253689 -0.248904 -0.247989 ,698478 528918 410914 925940 915223 992273 391872 545390 68416 675330 ,-0.434645 -0.333043 -0.302257 -0.302011 -0.27662 -0.265924 -0.256521 -0.253689 -0.248905 -0.247989 
581962 612270 372961 243245 78085 364002 9013 578799 280991 227945 ,-0.47302 -0.470486 -0.468645 -0.467424 -0.466936 -0.466472 -0.46549 -0.465092 -0.464765 -0.464533 ,581962 612270 372961 243245 78085 364002 9013 578799 280991 227945 ,-0.47302 -0.470486 -0.468645 -0.467424 -0.466936 -0.466472 -0.46549 -0.465092 -0.464765 -0.464533 
498876 229481 842271 273061 737706 503698 106335 985417 264503 369851 ,-0.428373 -0.427877 -0.422136 -0.421196 -0.41984 -0.417244 -0.415601 -0.415092 -0.410776 -0.408208 ,498876 229481 842271 273061 737706 503698 106335 985417 264503 369851 ,-0.428373 -0.427877 -0.422136 -0.421196 -0.41984 -0.417244 -0.415601 -0.415092 -0.410776 -0.408208 
