GT,Result
538821 781572 509335 889095 370847 15692 678913 770844 451332 797736 ,-0.295114 -0.293398 -0.281863 -0.277063 -0.253704 -0.229056 -0.22627 -0.224532 -0.222246 -0.221888 ,538821 781572 509335 15692 678913 770844 451332 797736 318800 441918 ,-0.295114 -0.293398 -0.281863 -0.229056 -0.22627 -0.224532 -0.222246 -0.221888 -0.219173 -0.218418 
967146 71883 441438 121739 628245 565155 909045 4060 435893 861571 ,-0.461062 -0.455451 -0.452581 -0.451767 -0.451545 -0.447147 -0.443521 -0.441429 -0.436078 -0.432678 ,967146 71883 441438 121739 628245 565155 909045 4060 435893 861571 ,-0.461062 -0.455451 -0.452581 -0.451767 -0.451545 -0.447147 -0.443521 -0.441429 -0.436078 -0.432678 
559604 556686 444785 416441 639756 30466 363832 9013 18684 224319 ,-0.459242 -0.457482 -0.450815 -0.449714 -0.444411 -0.442697 -0.440107 -0.437028 -0.431976 -0.431372 ,559604 556686 444785 416441 639756 30466 363832 9013 18684 224319 ,-0.459242 -0.457482 -0.450815 -0.449714 -0.444411 -0.442697 -0.440107 -0.437028 -0.431976 -0.431372 
886434 693264 714571 810367 273676 710969 692590 597027 430728 843889 ,-0.46385 -0.449318 -0.448249 -0.445873 -0.441938 -0.44122 -0.439281 -0.438017 -0.434227 -0.433809 ,886434 693264 714571 810367 273676 710969 692590 597027 430728 843889 ,-0.46385 -0.449318 -0.448249 -0.445873 -0.441938 -0.44122 -0.439281 -0.438017 -0.434227 -0.433809 
413811 165868 337092 560001 737223 888629 969865 942017 364706 104998 ,-0.461859 -0.45956 -0.457981 -0.456362 -0.452711 -0.45178 -0.451777 -0.451301 -0.450828 -0.45011 ,413811 165868 337092 560001 737223 888629 969865 942017 364706 104998 ,-0.461859 -0.45956 -0.457981 -0.456362 -0.452711 -0.45178 -0.451777 -0.451301 -0.450828 -0.45011 
770844 955020 284690 652750 773061 184589 198529 857943 333723 973434 ,-0.34593 -0.342677 -0.340032 -0.335167 -0.32735 -0.325606 -0.323227 -0.322275 -0.316088 -0.303328 ,770844 955020 284690 652750 773061 184589 198529 857943 333723 973434 ,-0.34593 -0.342677 -0.340032 -0.335167 -0.32735 -0.325606 -0.323227 -0.322275 -0.316088 -0.303328 
450451 478377 842271 509335 531690 128847 588387 947205 297636 201687 ,-0.307737 -0.294491 -0.290884 -0.289955 -0.286285 -0.285713 -0.281779 -0.276884 -0.266914 -0.260002 ,450451 842271 509335 531690 128847 588387 297636 201687 432909 845267 ,-0.307737 -0.290883 -0.289955 -0.286285 -0.285713 -0.281779 -0.266914 -0.260001 -0.259435 -0.254254 
65688 554639 475303 591227 921758 972167 382774 219082 316505 370847 ,-0.44126 -0.427371 -0.424719 -0.410336 -0.407596 -0.403413 -0.401769 -0.394693 -0.393082 -0.392944 ,65688 554639 475303 591227 921758 972167 382774 219082 316505 370847 ,-0.44126 -0.427371 -0.424719 -0.410336 -0.407596 -0.403413 -0.401769 -0.394693 -0.393082 -0.392944 
944559 332869 698478 277926 528918 513843 204546 463411 742221 21110 ,-0.214952 -0.214391 -0.212423 -0.211883 -0.210821 -0.199923 -0.197592 -0.193722 -0.191455 -0.185362 ,944559 332869 698478 277926 528918 513843 204546 463411 742221 21110 ,-0.214952 -0.214391 -0.212423 -0.211883 -0.210821 -0.199923 -0.197592 -0.193722 -0.191455 -0.185362 
172317 289288 297000 105156 699830 61303 617177 386729 576236 332869 ,-0.292542 -0.289251 -0.258812 -0.257976 -0.256651 -0.248139 -0.247144 -0.246463 -0.245057 -0.244381 ,172317 289288 297000 105156 61303 617177 576236 822117 535070 136532 ,-0.292542 -0.289251 -0.258812 -0.257976 -0.248139 -0.247144 -0.245057 -0.241459 -0.240566 -0.23595 
770844 450451 588387 62879 297636 531690 318800 485024 201687 854812 ,-0.24216 -0.236526 -0.234925 -0.234257 -0.229178 -0.22713 -0.22437 -0.207239 -0.202269 -0.195518 ,450451 588387 62879 297636 531690 318800 485024 201687 854812 596512 ,-0.236526 -0.234925 -0.234257 -0.229178 -0.22713 -0.22437 -0.207239 -0.202269 -0.195518 -0.184612 
30245 677012 125260 208204 627330 291972 437003 11 167994 788491 ,-0.189568 -0.0923385 -0.067086 -0.0627525 -0.0440065 0.0399955 0.04292 0.057262 0.0590375 0.064347 ,30245 677012 125260 627330 291972 437003 11 167994 788491 293725 ,-0.189568 -0.0923385 -0.067086 -0.0440065 0.0399955 0.04292 0.057262 0.0590375 0.064347 0.0720345 
842271 62879 531690 500558 450451 770844 588387 972167 102818 318800 ,-0.247104 -0.242669 -0.240207 -0.239003 -0.234481 -0.226221 -0.224685 -0.224593 -0.222951 -0.222286 ,62879 531690 500558 450451 588387 318800 128847 475629 201687 509335 ,-0.24267 -0.240208 -0.239004 -0.234482 -0.224685 -0.222286 -0.222032 -0.218091 -0.214587 -0.213605 
842271 503698 729289 369124 509335 369851 102818 498876 370847 521501 ,-0.347495 -0.340079 -0.333396 -0.320471 -0.31528 -0.293041 -0.292408 -0.285294 -0.27101 -0.265132 ,842271 503698 729289 369124 509335 954197 369851 102818 498876 370847 ,-0.347495 -0.340079 -0.333396 -0.320471 -0.31528 -0.302876 -0.293041 -0.292408 -0.285294 -0.27101 
390187 627800 154596 525272 894526 473396 970620 950925 607978 742221 ,-0.435019 -0.427418 -0.425407 -0.418036 -0.414827 -0.414768 -0.408817 -0.408805 -0.405925 -0.405771 ,390187 627800 154596 525272 894526 473396 970620 950925 607978 742221 ,-0.435019 -0.427418 -0.425407 -0.418036 -0.414827 -0.414768 -0.408817 -0.408805 -0.405925 -0.405771 
