GT,Result
435974 826176 671882 646045 322554 490300 58457 451501 893899 811321 ,-0.43388 -0.407559 -0.382242 -0.38196 -0.377523 -0.375817 -0.371976 -0.366658 -0.365556 -0.36187 ,843384 701919 4009 180955 569837 374617 398306 403035 390777 756694 ,77588 79508 80450 81909 82847 82937 83377 83632 83764 84038 
413755 845267 677012 223491 619656 503698 890851 275882 380655 952112 ,-0.311534 -0.305786 -0.292092 -0.290359 -0.279597 -0.276559 -0.276173 -0.267187 -0.262409 -0.259947 ,833054 931691 844161 704226 749062 167962 543208 577847 496679 544906 ,58464 67716 68294 72736 74293 74573 75090 75721 75929 76287 
414491 30466 742221 554870 911677 168062 501456 416441 122732 597526 ,-0.277023 -0.247011 -0.204149 -0.201355 -0.189367 -0.183924 -0.182866 -0.179179 -0.168715 -0.167747 ,402106 800216 46826 307615 783477 227186 947879 250875 386115 25271 ,36458 50003 50499 51069 56583 58333 58410 58839 59400 60945 
230396 506577 842271 889296 226459 984764 882966 911607 253540 491553 ,-0.385294 -0.383989 -0.371011 -0.36961 -0.351874 -0.349429 -0.342268 -0.340203 -0.339681 -0.337848 ,123985 855554 81001 768705 889896 852240 443513 889094 502128 190642 ,36107 38019 42181 42781 43139 43386 43463 43715 44114 44707 
30245 376277 688953 503782 529783 326875 237971 521967 105156 960697 ,-0.393329 -0.372316 -0.370266 -0.366121 -0.362365 -0.35813 -0.355637 -0.343339 -0.340371 -0.34005 ,748193 107281 340288 108257 279356 279095 355111 495828 30116 748799 ,48151 54643 57968 61320 61829 62409 62451 62846 63010 63101 
62879 646045 476785 500558 128847 671258 107713 130138 588387 955938 ,-0.338144 -0.318562 -0.317749 -0.307545 -0.303047 -0.295206 -0.294287 -0.293585 -0.291361 -0.284835 ,187470 67875 682308 1097 884645 187569 220026 893231 207170 1239 ,64458 65771 73467 75708 76301 77282 77723 78218 79182 82658 
450451 905442 260325 478377 318800 719587 4450 842584 12992 846515 ,-0.36033 -0.351537 -0.342108 -0.328676 -0.320946 -0.320022 -0.313524 -0.304278 -0.300343 -0.299352 ,598020 248825 3530 400754 911890 20834 71505 16155 835235 929695 ,63647 63994 66853 68099 68751 68952 71517 73285 74794 74882 
255657 649410 995525 647897 410239 573497 733895 468999 134430 552605 ,-0.493081 -0.477102 -0.472578 -0.461743 -0.461356 -0.460186 -0.459902 -0.459448 -0.459157 -0.459069 ,569178 5868 258846 235792 570259 55254 995722 262980 3109 429332 ,27011 31587 33161 33211 34120 35529 35754 37204 38574 38660 
698478 528918 391872 545390 68416 675330 285636 94440 181023 351913 ,-0.412945 -0.308885 -0.26838 -0.261206 -0.24908 -0.24676 -0.241388 -0.239461 -0.239188 -0.23649 ,322356 361724 500344 516659 104898 329181 25615 106146 58845 12614 ,71007 71744 72335 72529 77088 79639 79734 80466 80905 81905 
581962 612270 372961 243245 78085 364002 9013 578799 280991 227945 ,-0.492282 -0.486582 -0.482442 -0.479696 -0.478599 -0.477555 -0.475347 -0.474452 -0.473715 -0.473195 ,514230 291945 732351 883543 171008 521119 771950 364724 514893 573146 ,57290 59017 59218 59582 59591 59966 60509 61045 61197 62343 
498876 229481 842271 273061 737706 503698 106335 985417 264503 369851 ,-0.414643 -0.413444 -0.399589 -0.397319 -0.394045 -0.38778 -0.383813 -0.382586 -0.372167 -0.365968 ,813929 64151 197149 919306 19329 226060 285719 270670 883960 932431 ,89497 90776 94617 98890 100882 101107 102755 103317 104520 104633 
788491 293725 291972 437003 11 167994 30245 92279 518414 677012 ,-0.10371 -0.0838355 0 0.00756077 0.0446395 0.0492297 0.0528349 0.0866665 0.104575 0.137538 ,291972 437003 11 167994 30245 788491 293725 92279 518414 549165 ,79991 85840 114524 118075 120864 128694 144069 147036 160890 191122 
