GT,Result
435974 826176 671882 646045 322554 490300 58457 451501 893899 811321 ,435345 908244 3752 843384 886630 779712 871066 619829 701919 87578 
413755 845267 677012 223491 619656 503698 890851 275882 380655 952112 ,833054 517238 560219 826670 808402 931691 844161 353631 190506 751816 
414491 30466 742221 554870 911677 168062 501456 416441 122732 597526 ,402106 800216 46826 307615 249336 783477 287172 227186 947879 250875 
230396 506577 842271 889296 226459 984764 882966 911607 253540 491553 ,123985 832999 855554 546767 885741 81001 768705 994263 889896 801041 
30245 376277 688953 503782 529783 326875 237971 521967 105156 960697 ,748397 748193 716433 112586 107281 368246 340288 175407 953387 491554 
62879 646045 476785 500558 128847 671258 107713 130138 588387 955938 ,187470 67875 220473 896005 27746 943689 669622 947299 515025 682308 
450451 905442 260325 478377 318800 719587 4450 842584 12992 846515 ,982379 59540 511412 595673 872343 667973 670041 16210 170274 439684 
255657 649410 995525 647897 410239 573497 733895 468999 134430 552605 ,618842 569178 107468 476215 762217 5447 543133 5868 108097 51349 
698478 528918 391872 545390 68416 675330 285636 94440 181023 351913 ,134502 281770 354520 389095 79518 161628 301855 464810 322356 324214 
581962 612270 372961 243245 78085 364002 9013 578799 280991 227945 ,177646 581962 514230 291945 612270 732351 746863 883543 171008 521119 
498876 229481 842271 273061 737706 503698 106335 985417 264503 369851 ,180396 209723 930391 941307 703585 692150 176721 85883 17178 679952 
788491 293725 291972 437003 11 167994 30245 92279 518414 677012 ,291972 437003 11 167994 30245 788491 293725 92279 518414 549165 
62879 500558 503698 62798 729289 538689 834280 888133 17073 797239 ,563997 923810 670225 857201 49919 798973 756088 563093 635998 706804 
844003 595917 403656 995625 562260 813663 671347 947294 727588 856426 ,274940 197552 872157 974413 546870 496679 545320 791365 202614 324744 
390187 57401 742221 698478 513843 229136 426663 342660 786510 400653 ,10309 57401 88691 878604 799506 510477 504044 408139 295019 624612 
969865 314581 791296 850768 682610 658385 11120 915503 548244 241994 ,409722 969865 93482 237312 806593 504852 800731 823579 465105 682423 
21936 29785 482545 15558 649860 858603 531690 829853 450451 770844 ,844703 561762 957847 810938 704144 989185 585827 480763 206634 339048 
220716 648567 362899 310601 367417 576236 516149 886365 210397 892868 ,516149 886365 210397 892868 393303 34239 129331 466181 220716 117819 
635099 997991 463411 513843 351913 522276 341394 501108 884539 473396 ,709366 833722 704992 331902 480426 271548 805557 62961 124185 520177 
450451 128847 500558 538689 770844 361119 865567 719587 15692 752653 ,921304 905999 14576 206975 876201 664793 868889 888599 125251 190506 
50812 753659 814221 497161 826519 600429 511582 475483 504084 446108 ,50812 62711 54142 753659 814221 497161 445845 826519 5557 860908 
321624 40532 149044 451083 689949 292941 905291 686148 524763 450373 ,497354 52746 90715 68889 732365 69657 905162 99289 518939 339360 
825684 56828 748442 8828 291986 526374 905822 815316 488761 254928 ,31629 482791 932260 32170 429041 814838 810003 469121 546068 397040 
617177 30466 172317 699830 289288 242627 736586 178584 259902 514088 ,242627 272510 101799 178584 953326 719578 3961 719988 259902 122908 
733102 559509 95528 692115 495955 140106 724960 413309 782969 295649 ,278674 708719 292192 243182 291979 803951 52603 611410 609691 126008 
733343 525240 946303 560736 960161 926940 448322 30245 30466 376277 ,87978 421917 436170 219934 449282 337159 604294 995561 40822 684145 
302247 422856 352382 353041 367679 571956 363832 487907 103607 337756 ,426756 353320 794330 13710 790153 369459 427104 510247 414181 266819 
105156 525240 822117 386729 429991 232811 310442 136532 192427 677085 ,278725 176129 296045 58968 802361 717049 5865 753213 417346 559788 
237960 601303 415455 536353 748064 990137 514163 484277 378674 427301 ,98185 237960 805254 514965 905617 817003 637383 570976 137433 180854 
537802 377635 906899 211828 664567 606589 755675 912813 899499 677213 ,768135 102589 655401 218336 216546 709795 602775 411944 770531 540223 
698478 473396 267829 994017 635099 174907 11 101277 848992 92279 ,825845 599948 448616 500063 122240 510127 551695 960914 505300 340557 
856767 256069 337230 576236 724960 862533 459034 501108 367417 136532 ,5559 4995 749867 101992 497487 633839 376657 475037 151167 307702 
535070 72746 808739 105156 194350 386729 136532 122647 812679 518504 ,281121 525088 988306 91331 700269 8779 637342 758235 903580 531949 
128847 485024 509335 904402 752653 770844 446105 176213 15692 224651 ,995079 994843 676916 996246 676649 615911 39929 100515 646457 237660 
527344 16722 329587 698478 479838 480452 627800 473396 636826 630178 ,68317 473396 595750 7058 10746 430472 485398 822355 963400 293458 
206586 899027 369585 369124 120306 92085 370847 865009 385934 744697 ,641127 15970 240849 792139 942386 394268 521215 94193 760621 506093 
341292 506533 81774 224117 690542 3013 834416 832042 767245 345351 ,194842 841377 656209 160995 341292 630941 506533 81774 224117 690542 
588387 210238 714809 381568 297636 12992 531690 126521 128847 235146 ,808138 118126 243889 178156 408768 511662 126521 856483 84937 128600 
513843 463411 256043 416141 258115 309759 531166 635099 627915 21110 ,5023 5500 5177 6187 978240 137232 284610 160369 173565 978863 
559008 736188 824226 57565 929214 47066 939126 773853 636826 808611 ,587405 458341 685204 552374 859139 415581 244952 736372 975023 423522 
453074 308347 966787 414545 884008 500865 414491 889841 546636 479119 ,379937 920292 106343 949328 126997 189638 186712 552366 11434 137464 
500558 476785 486146 352465 810889 764138 811321 842271 657186 320916 ,673987 162748 673081 552430 534491 680717 877603 540455 315672 742057 
280744 322192 528658 566142 448662 469878 516903 489223 158171 460882 ,280744 684403 176619 91711 519535 322192 923161 528658 691243 718592 
805897 978846 778081 827757 686457 582952 825518 581069 153265 525006 ,585394 474591 4978 705047 307823 973009 691513 742984 473449 340334 
436965 359625 243924 934311 490300 886142 343295 503698 483317 941994 ,421803 436965 294713 359625 243924 252782 260638 934311 423063 44 
699595 580925 305031 58654 747421 698478 205761 562935 385215 886061 ,103857 339933 482497 344793 905059 311025 309505 727220 744105 419117 
94758 905442 147253 38484 520919 559703 232776 756768 636615 625698 ,750523 289779 346534 744870 914759 355076 7851 207291 148057 340987 
112116 864010 93258 919634 766706 195858 946182 437570 128744 189260 ,676288 112116 138708 129673 17798 392988 388928 864010 88749 93258 
186313 692940 733343 771884 187533 915223 406044 120094 152775 516549 ,873171 991578 871696 130745 307869 566083 364648 410390 487715 291606 
513843 518085 944559 420148 748442 204546 510313 576153 385015 377580 ,168390 716517 632208 306171 390376 852338 151174 519294 34121 716504 
244737 59914 285853 771161 549065 821040 875115 414491 403966 551806 ,352116 440191 402512 579403 328290 583240 760910 230231 152860 398571 
627915 78099 503812 712002 713933 637348 409222 199931 735638 536312 ,6123 571827 571831 774030 898134 770374 774083 636082 397824 10903 
742221 136532 80802 414491 944559 429991 518504 576236 861433 437003 ,353210 892861 781199 315815 517274 336721 457767 300557 457133 336943 
742221 576236 982370 429991 351913 136532 41287 510313 629929 367417 ,433970 637955 809503 101375 784198 301188 921965 872692 920342 305196 
654661 425492 810889 486146 410567 955938 254922 545714 40300 476785 ,865171 447084 759057 768046 447374 666752 768035 541511 890741 541636 
879734 207426 352465 997767 574887 134546 702274 885484 665182 906558 ,38460 619248 537847 39291 695678 410584 920212 389276 755979 154751 
104904 616326 523176 305301 16534 825974 699033 578179 744218 431019 ,16534 4730 615388 964707 780086 167611 536494 839681 429477 567816 
62879 268264 214355 627990 243026 842271 130138 848913 132334 485024 ,556125 214355 562323 917398 607932 685524 221159 208258 256663 52810 
526638 290740 172317 289288 915316 617177 638874 316659 874131 30466 ,7237 626572 716064 536562 381601 172684 237441 949157 383164 462136 
141433 817744 521126 733895 310548 232776 288194 2665 38484 714954 ,6834 6316 6612 768167 672413 768289 672523 830147 673996 830132 
72397 905822 204546 429991 487962 610061 107403 684559 176332 793722 ,311418 168629 436896 780082 292798 395339 504387 459286 735035 351525 
535070 942165 364259 552841 994432 544475 271622 901561 241987 685910 ,848323 263578 635689 246365 249336 339847 417975 246051 355367 774538 
927095 267829 46854 528918 615364 385767 617177 322972 259804 962488 ,46854 385767 322972 808298 71429 259804 962488 927095 267829 28162 
186222 291492 389056 515525 354229 708718 385767 228521 191859 337983 ,512491 151890 518559 574046 276987 453362 186222 140118 754909 490019 
824226 463411 609211 627915 16722 61303 617177 509712 204546 8828 ,5635 617044 641218 387016 440946 846637 218073 474320 855596 415658 
487024 610344 592980 410567 535725 57748 994170 811321 764138 579759 ,992978 6405 782307 606380 52188 869634 576180 781821 569962 725944 
546934 411767 254493 779569 801854 772850 613181 635438 448905 711001 ,5390 5669 686362 7346 376423 7758 53298 997979 5242 54581 
965139 385779 35499 321434 100816 818639 882298 417566 736051 565624 ,46914 93590 46349 157108 679287 736952 683966 616719 45600 640838 
283495 232578 487766 54354 519032 667553 10946 210926 496677 112303 ,84205 283495 281459 415786 188839 265787 743421 379085 893594 112726 
267829 30466 16722 262964 797667 525272 627800 447814 630178 607978 ,727168 175724 716576 954006 378523 583995 740549 430472 520751 725272 
309759 768341 763980 837490 638446 759223 891603 423709 428454 809350 ,768076 568026 710200 667463 871140 820691 655696 824226 657721 903886 
772495 30466 62407 617177 168062 155062 807643 497161 269750 267829 ,84587 418509 137743 811075 155062 820440 799821 873346 353731 807643 
232522 830587 305494 746497 734941 720462 30665 480463 380228 980664 ,57922 483587 435928 23285 205579 711790 612577 742311 503042 370111 
100496 19769 66219 293725 944559 119370 10497 342693 513843 29259 ,190271 405640 470408 86188 574996 88691 256424 184197 119401 553386 
289288 332869 61303 822117 610061 793722 204546 699830 429704 617177 ,353104 426975 314481 548275 724824 831381 55897 168854 338867 430402 
992808 136532 812679 937360 72746 177707 632467 699588 40530 849653 ,188398 285700 213636 384252 268603 497259 326011 871138 629003 203928 
671258 745558 476785 500558 943477 972680 360473 57748 128847 509335 ,194189 267648 100947 336450 890601 267349 275932 346182 199613 406709 
549165 96478 437003 45976 989168 19769 365814 95182 432858 376017 ,581325 108434 888231 170729 785837 316406 134385 721459 805389 31860 
204546 105103 332869 894693 725467 742221 315931 849653 720199 547558 ,9208 68687 234634 68818 77375 979096 527682 143040 61297 615280 
886895 603549 556925 537349 448242 112362 521126 781572 601708 893767 ,6070 8486 971540 579134 468907 673584 861956 113423 886153 768562 
504921 66470 93590 148070 27895 427743 439273 227719 22610 206816 ,171970 694771 954139 258925 475041 319365 478810 687120 686841 849305 
531364 315308 720199 910811 414491 448322 201000 554870 180658 386729 ,514760 612066 177163 459967 574054 114425 128601 261921 869902 431469 
97230 30245 519715 297000 850081 882272 169927 497656 780010 58974 ,797030 31813 629024 133714 584764 177587 158279 879070 739387 981410 
334696 151399 245960 69767 494354 140106 185699 282050 40220 80802 ,296270 714059 847922 414280 74493 40878 6778 566213 905839 295098 
169903 509326 513843 290740 487832 285473 97689 483155 480746 865883 ,8894 227733 745982 327011 80610 431313 237419 68687 685792 305411 
644397 698884 335731 505659 848090 979573 576153 788540 279440 627915 ,938121 641320 882563 934228 297210 204402 22447 455606 224497 854962 
927691 309692 297636 234007 792978 135716 993716 235146 844385 969085 ,807714 642062 73061 910669 900912 253067 808513 526166 114829 134680 
714809 633249 792978 943847 401757 416302 318612 734843 253673 684183 ,783757 631041 136929 228999 684023 714809 774482 743579 749073 682179 
772580 500558 12992 671258 444790 338599 198137 899161 960042 362899 ,6901 38545 38386 38240 897035 39488 230886 397589 39135 417228 
818073 842271 51555 692000 264503 555658 304056 896050 602491 986900 ,754501 10101 282164 590693 718780 385525 882978 545891 732154 248689 
566262 18684 68416 16722 495030 377767 332869 30466 433827 342660 ,84465 821939 815480 520730 815287 815404 815329 82999 815274 996019 
244168 8828 16722 513843 488761 627915 600758 100496 645524 200062 ,802478 421870 689208 861218 739142 172207 471681 892485 797898 779144 
302004 805122 913950 296674 822624 172317 177676 522855 818313 389902 ,8356 7797 511325 806838 792323 349404 942656 863588 106024 407483 
8828 636826 488761 824226 933947 254928 510313 45568 627915 489744 ,742556 948690 884723 603308 363707 466919 616835 532449 242157 468463 
774324 979573 89419 204546 309759 824226 302004 667048 567949 527344 ,986478 857588 616609 856493 380955 38139 50227 963363 642416 644503 
144480 349923 750227 823522 341464 65429 623067 562527 934552 627853 ,298797 916928 332566 625082 84327 927687 160455 945153 781879 790832 
617177 716664 370847 753129 516549 694281 41287 575293 518504 124734 ,73429 684831 339901 877110 235535 152206 169353 563040 124715 332960 
562757 432738 411330 625168 218579 285086 885570 875780 75578 387222 ,562757 696751 52248 978499 432738 332815 36845 406036 914621 44870 
807643 525240 772495 42678 446957 911677 448322 59866 855728 820658 ,656060 907241 791172 376811 211115 607480 42678 446957 822413 447181 
619986 276316 532055 600758 336859 295982 43073 389202 576153 644208 ,369366 305493 87488 341673 699594 237049 237241 940971 693211 265165 
30466 267829 617177 294597 18684 528918 410005 16722 332869 698478 ,223309 20974 598056 25312 305680 497050 94551 161559 30145 699526 
772495 310442 66421 83901 42521 172317 386729 42353 105156 949952 ,42521 377876 546942 731949 571160 419850 562016 106806 633554 795304 
966787 910811 739188 659613 416909 336859 531364 448322 913389 419871 ,809545 107069 434970 966787 416909 929942 84945 182585 492237 448322 
62879 185345 340517 201687 665116 62798 973434 513160 614134 344873 ,642707 614360 641279 122290 141685 869927 566430 364322 19426 40902 
537810 854762 867372 570088 715366 786556 734242 423557 377635 53860 ,579263 52434 378181 797883 689308 56625 410863 585321 10879 478583 
35354 614134 176213 594444 729067 347804 356272 98602 35355 349019 ,379963 189833 290903 56516 480764 414715 636006 556793 71900 900552 
627915 824226 768341 289288 354462 309759 355017 100496 536312 204546 ,908531 116079 112707 987365 845979 215969 79463 427847 556067 937445 
